Wkr-Nr.;Land;Wahlkreisname;Wahlberechtigte (A);Wahlberechtigte ohne Sperrvermerk (A1);Wahlberechtigte mit Sperrvermerk (A2);Wahlberechtigte nach § 25 Abs 2 BWO (A3);Wählende (B);Wählende mit Wahlschein (B1);Ungültige;Ungültig;Gültige;Gültig;CDU;CDU;SPD;SPD;AfD;AfD;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;FREIE WÄHLER;FREIE WÄHLER;Die PARTEI;Die PARTEI;Tierschutzpartei;Tierschutzpartei;HEIMAT;HEIMAT;PIRATEN;PIRATEN;ÖDP;ÖDP;V-Partei³;V-Partei³;DiB;DiB;BP;BP;Tierschutzallianz;Tierschutzallianz;MLPD;MLPD;Verjüngungsforschung;Verjüngungsforschung;MENSCHLICHE WELT;MENSCHLICHE WELT;DKP;DKP;Die Grauen;Die Grauen;BüSo;BüSo;Die Humanisten;Die Humanisten;Gartenpartei;Gartenpartei;du;du;SGP;SGP;dieBasis;dieBasis;Bündnis C;Bündnis C;BÜRGERBEWEGUNG;BÜRGERBEWEGUNG;III Weg;III Weg;Bündnis21;Bündnis21;LIEBE;LIEBE;LKR;LKR;PdF;PdF;LfK;LfK;SSW;SSW;Team Todenhöfer;Team Todenhöfer;UNABHÄNGIGE;UNABHÄNGIGE;Volt;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;WGr/EB
;;;;;;;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen
1;SH;Flensburg – Schleswig;231536;176166;55370;0;180112;52713;1537;1487;178575;178625;36421;36421;45508;45508;10317;10317;19189;19189;7475;7475;33300;33300;0;0;1715;1715;1844;1844;1990;1990;138;138;0;0;132;132;194;194;0;0;0;0;0;0;12;12;0;0;0;0;40;40;0;0;0;0;157;157;0;0;118;118;0;0;2866;2866;0;0;0;0;0;0;0;0;0;0;73;73;0;0;0;0;16415;16415;318;318;0;0;403;403;0;0;0;0;0;0;0;0
2;SH;Nordfriesland – Dithmarschen Nord;188267;137969;50298;0;145387;47885;1337;1242;144050;144145;35511;35511;37926;37926;8798;8798;18350;18350;4437;4437;22588;22588;0;0;1081;1081;1322;1322;1604;1604;146;146;0;0;121;121;125;125;0;0;0;0;0;0;26;26;0;0;0;0;33;33;0;0;0;0;130;130;0;0;59;59;0;0;1836;1836;0;0;0;0;0;0;0;0;0;0;60;60;0;0;0;0;9516;9516;239;239;0;0;237;237;0;0;0;0;0;0;0;0
3;SH;Steinburg – Dithmarschen Süd;176899;137490;39409;0;136299;37641;1319;1190;134980;135109;32842;32842;37468;37468;11303;11303;18492;18492;4524;4524;19237;19237;0;0;1713;1713;1346;1346;1719;1719;190;190;0;0;105;105;250;250;0;0;0;0;0;0;25;25;0;0;0;0;29;29;0;0;0;0;118;118;0;0;77;77;0;0;1712;1712;0;0;0;0;0;0;0;0;0;0;84;84;0;0;0;0;3366;3366;283;283;0;0;226;226;0;0;0;0;0;0;0;0
4;SH;Rendsburg-Eckernförde;202226;149537;52689;0;162060;50314;1410;1105;160650;160955;38517;38517;43148;43148;10564;10564;19322;19322;5163;5163;28828;28828;0;0;1174;1174;1618;1618;1728;1728;158;158;0;0;122;122;127;127;0;0;0;0;0;0;33;33;0;0;0;0;23;23;0;0;0;0;136;136;0;0;69;69;0;0;2375;2375;0;0;0;0;0;0;0;0;0;0;49;49;0;0;0;0;7304;7304;244;244;0;0;253;253;0;0;0;0;0;0;0;0
5;SH;Kiel;202482;137420;65030;32;155986;62528;1170;918;154816;155068;23920;23920;40338;40338;7654;7654;16110;16110;9430;9430;44089;44089;0;0;954;954;2185;2185;1676;1676;122;122;0;0;116;116;171;171;0;0;0;0;0;0;39;39;0;0;0;0;88;88;0;0;0;0;299;299;0;0;114;114;0;0;1924;1924;0;0;0;0;0;0;0;0;0;0;50;50;0;0;0;0;4486;4486;747;747;0;0;556;556;0;0;0;0;0;0;0;0
6;SH;Plön – Neumünster;174908;129632;45276;0;133721;43072;1759;1194;131962;132527;30290;30290;38670;38670;9741;9741;15901;15901;4232;4232;23051;23051;0;0;1275;1275;1300;1300;1446;1446;242;242;0;0;94;94;98;98;0;0;0;0;0;0;23;23;0;0;0;0;34;34;0;0;0;0;111;111;0;0;70;70;0;0;2007;2007;0;0;0;0;0;0;0;0;0;0;94;94;0;0;0;0;3203;3203;415;415;0;0;230;230;0;0;0;0;0;0;0;0
7;SH;Pinneberg;238388;166061;72327;0;191512;68933;1443;1242;190069;190270;42057;42057;55693;55693;13080;13080;25663;25663;6363;6363;34291;34291;0;0;1731;1731;1805;1805;2320;2320;188;188;0;0;202;202;208;208;0;0;0;0;0;0;21;21;0;0;0;0;59;59;0;0;0;0;182;182;0;0;127;127;0;0;2389;2389;0;0;0;0;0;0;0;0;0;0;108;108;0;0;0;0;2527;2527;799;799;0;0;457;457;0;0;0;0;0;0;0;0
8;SH;Segeberg – Stormarn-Mitte;249202;178400;70800;2;199618;67262;1700;1353;197918;198265;44285;44285;56658;56658;14527;14527;27675;27675;6468;6468;33361;33361;0;0;2297;2297;2226;2226;2663;2663;225;225;0;0;194;194;202;202;0;0;0;0;0;0;30;30;0;0;0;0;54;54;0;0;0;0;186;186;0;0;119;119;0;0;2839;2839;0;0;0;0;0;0;0;0;0;0;53;53;0;0;0;0;3108;3108;586;586;0;0;509;509;0;0;0;0;0;0;0;0
9;SH;Ostholstein – Stormarn-Nord;183138;132797;50341;0;143092;48044;1301;1126;141791;141966;35564;35564;42520;42520;10073;10073;17986;17986;4036;4036;22314;22314;0;0;1603;1603;1104;1104;1729;1729;198;198;0;0;102;102;111;111;0;0;0;0;0;0;13;13;0;0;0;0;28;28;0;0;0;0;88;88;0;0;65;65;0;0;1691;1691;0;0;0;0;0;0;0;0;0;0;29;29;0;0;0;0;2241;2241;182;182;0;0;289;289;0;0;0;0;0;0;0;389
10;SH;Herzogtum Lauenburg – Stormarn-Süd;246277;174614;71662;1;196903;68624;1576;1316;195327;195587;45364;45364;56422;56422;14682;14682;27725;27725;6325;6325;32475;32475;0;0;2204;2204;1791;1791;2283;2283;261;261;0;0;217;217;155;155;0;0;0;0;0;0;29;29;0;0;0;0;82;82;0;0;0;0;160;160;0;0;105;105;0;0;2237;2237;0;0;0;0;0;0;0;0;0;0;48;48;0;0;0;0;1746;1746;829;829;0;0;447;447;0;0;0;0;0;0;0;0
11;SH;Lübeck;179394;131314;48080;0;131455;45114;1580;1218;129875;130237;23628;23628;39704;39704;8827;8827;13626;13626;5785;5785;29229;29229;0;0;1296;1296;1329;1329;1495;1495;166;166;0;0;134;134;122;122;0;0;0;0;0;0;71;71;0;0;0;0;46;46;0;0;0;0;196;196;0;0;106;106;0;0;1531;1531;0;0;0;0;0;0;0;0;0;0;67;67;0;0;0;0;1666;1666;663;663;0;0;550;550;0;0;0;0;0;0;0;220
901;SH;Land;2272717;1651400;621282;35;1776145;592130;16132;13391;1760013;1762754;388399;388399;494055;494055;119566;119566;220039;220039;64238;64238;322763;322763;0;0;17043;17043;17870;17870;20653;20653;2034;2034;0;0;1539;1539;1763;1763;0;0;0;0;0;0;322;322;0;0;0;0;516;516;0;0;0;0;1763;1763;0;0;1029;1029;0;0;23407;23407;0;0;0;0;0;0;0;0;0;0;715;715;0;0;0;0;55578;55578;5305;5305;0;0;4157;4157;0;0;0;0;0;0;0;609
12;MV;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;214853;155490;59363;0;156565;54830;2957;2402;153608;154163;26383;26383;49271;49271;24185;24185;13242;13242;16604;16604;12419;12419;0;0;2476;2476;1252;1252;2645;2645;1112;1112;1023;1023;151;151;0;0;0;0;0;0;0;0;117;117;0;0;0;0;121;121;0;0;0;0;175;175;0;0;0;0;0;0;2207;2207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;399;399;0;0;381;381;0;0;0;0;0;0;0;0
13;MV;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;205042;151280;53762;0;146362;49489;2316;2258;144046;144104;24621;24621;46846;46846;24673;24673;11638;11638;14979;14979;10147;10147;0;0;2384;2384;1019;1019;2562;2562;889;889;624;624;195;195;0;0;0;0;0;0;0;0;65;65;0;0;0;0;109;109;0;0;0;0;157;157;0;0;0;0;0;0;2610;2610;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;332;332;0;0;254;254;0;0;0;0;0;0;0;2581
14;MV;Rostock – Landkreis Rostock II;222705;152028;70669;8;165329;66372;2319;2352;163010;162977;23103;23103;47280;47280;20658;20658;14852;14852;21491;21491;20941;20941;0;0;1871;1871;2036;2036;3935;3935;696;696;854;854;274;274;0;0;0;0;0;0;0;0;152;152;0;0;0;0;147;147;0;0;0;0;290;290;0;0;0;0;0;0;3488;3488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;408;408;0;0;501;501;0;0;0;0;0;0;0;0
