Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;
;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;
001;Flensburg – Schleswig;01;–;232131;;;;192882;;;;1097;;;;191785;;;;28376;;;;50838;;;;43298;;;;4487;;;;28827;;;;;;;;10375;;;;1547;;;;;;;;;;;;;;;;;;;;;;;;1452;;;;;;;;21468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;646;;;;;;;;;;;;;;;;471;;;;
002;Nordfriesland – Dithmarschen Nord;01;Christlich Demokratische Union Deutschlands;186019;;;;153755;;;;1038;;;;152717;;;;31169;;;;49866;;;;16628;;;;5750;;;;24474;;;;;;;;7920;;;;1484;;;;;;;;;;;;;;;;;;;;;;;;1172;;;;;;;;14254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
003;Steinburg – Dithmarschen Süd;01;Christlich Demokratische Union Deutschlands;175948;;;;146393;;;;1146;;;;145247;;;;30702;;;;50887;;;;14449;;;;5625;;;;29674;;;;;;;;8665;;;;3111;;;;;;;;;;;;;;;;;;;;;;;;2134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
004;Rendsburg-Eckernförde;01;Christlich Demokratische Union Deutschlands;202649;;;;172504;;;;1137;;;;171367;;;;36266;;;;56163;;;;20473;;;;8170;;;;26417;;;;;;;;8675;;;;1367;;;;;;;;;;;;;;;;;;;;;;;;1327;;;;;;;;11075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;632;;;;;;;;;;;;;;;;802;;;;
005;Kiel;01;BÜNDNIS 90/DIE GRÜNEN;201508;;;;167176;;;;980;;;;166196;;;;36690;;;;34944;;;;43281;;;;4828;;;;17811;;;;;;;;15953;;;;777;;;;;;;;;;;;2021;;;;;;;;;;;;2526;;;;;;;;7365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
006;Plön – Neumünster;01;Christlich Demokratische Union Deutschlands;173740;;;;143576;;;;1863;;;;141713;;;;33977;;;;46370;;;;18852;;;;4693;;;;25249;;;;;;;;7623;;;;3022;;;;;;;;;;;;;;;;;;;;;;;;1927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
007;Pinneberg;01;Christlich Demokratische Union Deutschlands;236767;;;;200304;;;;1202;;;;199102;;;;49714;;;;63232;;;;25395;;;;7675;;;;30417;;;;;;;;12683;;;;2190;;;;;;;;;;;;;;;;;;;;;;;;2423;;;;;;;;4617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;756;;;;;;;;;;;;;;;;;;;;
008;Segeberg – Stormarn-Mitte;01;Christlich Demokratische Union Deutschlands;249219;;;;211551;;;;1504;;;;210047;;;;51437;;;;67880;;;;24800;;;;9417;;;;36071;;;;;;;;12636;;;;3261;;;;;;;;;;;;;;;;;;;;;;;;3352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1193;;;;;;;;;;;;;;;;;;;;
009;Ostholstein – Stormarn-Nord;01;Christlich Demokratische Union Deutschlands;181112;;;;150786;;;;1114;;;;149672;;;;38070;;;;52024;;;;15636;;;;5423;;;;25929;;;;;;;;8232;;;;2636;;;;;;;;;;;;;;;;;;;;;;;;1722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010;Herzogtum Lauenburg – Stormarn-Süd;01;Christlich Demokratische Union Deutschlands;245473;;;;208042;;;;1411;;;;206631;;;;48275;;;;67642;;;;29009;;;;7445;;;;35418;;;;;;;;12161;;;;3784;;;;;;;;;;;;;;;;;;;;;;;;2897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
011;Lübeck;01;Sozialdemokratische Partei Deutschlands;178245;;;;142999;;;;1247;;;;141752;;;;39809;;;;33695;;;;27477;;;;4028;;;;21972;;;;;;;;10175;;;;1960;;;;;;;;;;;;;;;;;;;;;;;;2350;;;;;;;;;;;;;;;;;;;;;;;;;;;;286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01;Schleswig-Holstein;99;;2262811;;;;1889968;;;;13739;;;;1876229;;;;424485;;;;573541;;;;279298;;;;67541;;;;302259;;;;;;;;115098;;;;25139;;;;;;;;;;;;2021;;;;;;;;;;;;23282;;;;;;;;58779;;;;;;;;;;;;;;;;;;;;286;;;;;;;;;;;;;;;;;;;;3227;;;;;;;;;;;;;;;;1273;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;13;Alternative für Deutschland;212978;;;;171841;;;;2083;;;;169758;;;;34100;;;;35455;;;;5532;;;;4870;;;;60865;;;;;;;;21570;;;;4753;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;661;;;;;;;;;;;;;;;;;;;;1952;;;;;;;;;;;;;;;;;;;;
013;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;13;Alternative für Deutschland;202532;;;;162855;;;;1624;;;;161231;;;;34657;;;;32832;;;;5748;;;;4422;;;;59419;;;;;;;;18099;;;;6054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
